Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating
CALL0000001,Greg,2022-01-01,09:30:34,Technical Support,Y,Y,84,0:08:55,5
CALL0000002,Greg,2022-01-01,16:01:13,Streaming,Y,Y,65,0:09:44,4
CALL0000003,Greg,2022-01-01,20:41:12,Payment related,Y,Y,105,0:09:28,5
CALL0000004,Diane,2022-01-01,14:10:06,Technical Support,Y,N,42,0:03:20,2
CALL0000005,Greg,2022-01-01,17:10:02,Technical Support,Y,Y,67,0:09:23,5
CALL0000006,Greg,2022-01-01,15:53:39,Admin Support,Y,Y,90,0:03:01,4
CALL0000007,Becky,2022-01-01,10:45:36,Contract related,Y,Y,23,0:06:57,4
CALL0000008,Becky,2022-01-01,18:02:04,Admin Support,Y,N,67,0:08:10,4
CALL0000009,Greg,2022-01-01,15:02:28,Admin Support,Y,Y,90,0:05:29,4
CALL0000010,Stewart,2022-01-01,12:33:19,Contract related,Y,Y,21,0:04:53,4
CALL0000011,Jim,2022-01-01,16:03:07,Payment related,Y,N,44,0:07:59,3
CALL0000012,Jim,2022-01-01,11:27:31,Payment related,Y,Y,28,0:05:55,3
CALL0000013,Stewart,2022-01-01,20:30:57,Payment related,Y,Y,32,0:08:23,4
CALL0000014,Martha,2022-01-01,11:45:26,Payment related,Y,Y,74,0:02:01,5
CALL0000015,Stewart,2022-01-01,19:32:01,Payment related,Y,Y,50,0:08:45,4
CALL0000016,Diane,2022-01-01,16:23:03,Admin Support,N,N,104,0:00:24,1
CALL0000017,Stewart,2022-01-01,17:03:42,Streaming,Y,Y,45,0:05:08,2
CALL0000018,Greg,2022-01-01,16:52:27,Streaming,Y,Y,47,0:01:44,5
CALL0000019,Dan,2022-01-01,12:47:04,Payment related,Y,Y,25,0:08:13,5
CALL0000020,Joe,2022-01-01,09:27:22,Payment related,N,N,97,0:00:09,1
CALL0000021,Greg,2022-01-01,15:14:21,Payment related,Y,Y,55,0:08:16,4
CALL0000022,Martha,2022-01-01,20:44:58,Contract related,Y,Y,86,0:08:27,3
CALL0000023,Jim,2022-01-01,14:01:03,Streaming,Y,Y,100,0:06:34,5
CALL0000024,Martha,2022-01-01,15:48:37,Contract related,Y,Y,15,0:03:35,1
CALL0000025,Stewart,2022-01-01,16:15:57,Streaming,Y,Y,76,0:08:47,5
CALL0000026,Becky,2022-01-01,15:22:48,Contract related,Y,Y,51,0:05:21,3
CALL0000027,Diane,2022-01-01,14:47:45,Streaming,Y,Y,101,0:08:18,2
